time,emg
1742842580.9674196,932
1742842580.9684727,932
1742842580.9695265,931
1742842580.9705806,931
1742842580.9716337,931
1742842580.9726865,934
1742842580.9737403,933
1742842580.974794,933
1742842580.9758475,933
1742842580.976901,931
1742842580.9779546,930
1742842580.9790084,931
1742842580.9800625,931
1742842580.9811165,931
1742842580.98217,932
1742842580.9832244,931
1742842580.984277,932
1742842580.9853303,931
1742842580.9863842,931
1742842580.987437,932
1742842580.9884913,929
1742842580.9895442,932
1742842580.9905977,931
1742842580.9916515,932
1742842580.9927077,933
1742842580.9937944,933
1742842580.9948337,932
1742842580.9958827,933
1742842580.996937,931
1742842580.9979916,931
1742842580.9990623,927
1742842581.000111,931
1742842581.001165,931
1742842581.0022175,931
1742842581.003283,931
1742842581.0043306,931
1742842581.0053833,931
1742842581.006437,932
1742842581.0074904,932
1742842581.0085437,931
1742842581.0095975,931
1742842581.0106504,931
1742842581.0117037,930
1742842581.012757,931
1742842581.0138109,931
1742842581.014864,931
1742842581.015917,926
1742842581.0169704,912
1742842581.0180242,896
1742842581.019077,882
1742842581.0201306,866
1742842581.0211837,851
1742842581.0222387,835
1742842581.0232916,820
1742842581.024345,804
1742842581.0254223,791
1742842581.0264523,773
1742842581.0275056,758
1742842581.0285587,742
1742842581.0296128,727
1742842581.0306656,712
1742842581.0317178,697
1742842581.032771,682
1742842581.033836,670
1742842581.0348964,660
1742842581.035946,641
1742842581.0369978,628
1742842581.038051,614
1742842581.0391033,602
1742842581.040156,589
1742842581.0412085,577
1742842581.042263,564
1742842581.043316,552
1742842581.0443692,541
1742842581.0454228,529
1742842581.0464766,518
1742842581.0475295,507
1742842581.0485826,495
1742842581.0496364,485
1742842581.0506904,474
1742842581.0517433,465
1742842581.0527964,455
1742842581.0538502,445
1742842581.054904,436
1742842581.0559568,427
1742842581.0570102,417
1742842581.0580642,411
1742842581.059118,402
1742842581.0601707,393
1742842581.061224,385
1742842581.062278,378
1742842581.0633314,370
1742842581.0643842,362
1742842581.0654378,354
1742842581.0664876,348
1742842581.0675442,340
1742842581.0685976,333
1742842581.0696514,326
1742842581.0707052,319
1742842581.071758,313
1742842581.0728118,306
1742842581.0738645,300
1742842581.0749176,294
1742842581.07597,288
1742842581.077023,282
1742842581.0780778,277
1742842581.0791314,271
1742842581.0801852,268
1742842581.0812542,275
1742842581.0823107,279
1742842581.0834012,286
1742842581.0844383,282
1742842581.0854886,279
1742842581.0865397,275
1742842581.0876112,271
1742842581.0886555,266
1742842581.089706,261
1742842581.0907815,256
1742842581.0919077,256
1742842581.0929346,546
1742842581.0939853,932
1742842581.0950432,931
1742842581.0974088,932
1742842581.0982277,930
1742842581.0992877,931
1742842581.100329,932
1742842581.1016548,931
1742842581.1024635,932
1742842581.1035192,931
1742842581.1045735,931
1742842581.1056345,931
1742842581.1066842,932
1742842581.1077378,932
1742842581.1087918,932
1742842581.109855,932
1742842581.1109047,931
1742842581.1119585,931
1742842581.113013,931
1742842581.1140764,933
1742842581.1151264,934
1742842581.1161797,932
1742842581.1172342,932
1742842581.118298,932
1742842581.1193478,931
1742842581.1204016,932
1742842581.1214585,932
1742842581.1225197,934
1742842581.1235693,932
1742842581.124623,932
1742842581.1256776,932
1742842581.1267376,933
1742842581.1277885,932
1742842581.1288424,932
1742842581.1298966,932
1742842581.130959,932
1742842581.1320095,934
1742842581.1330633,934
1742842581.1341197,932
1742842581.1351814,932
1742842581.136232,931
1742842581.1372857,932
1742842581.1383402,933
1742842581.1394022,933
1742842581.1415124,931
1742842581.1425576,934
1742842581.143605,933
1742842581.144658,932
1742842581.145711,932
1742842581.1467733,930
1742842581.1478195,933
1742842581.1488738,933
1742842581.149928,933
1742842581.150983,933
1742842581.1520367,932
1742842581.1530907,932
1742842581.1541495,932
1742842581.1552033,933
1742842581.1562567,932
1742842581.157311,932
1742842581.158367,932
1742842581.1594222,932
1742842581.1604764,932
1742842581.1615317,932
1742842581.1625888,933
1742842581.1636434,932
1742842581.1646976,931
1742842581.1657536,931
1742842581.1668084,932
1742842581.1678638,933
1742842581.1689177,932
1742842581.1699736,931
1742842581.1710281,931
1742842581.1720836,931
1742842581.173138,933
1742842581.1741931,933
1742842581.175248,933
